CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
3925	BABASSU PALM	Agriculture and vegetation	Person/Thing		n
3926	BABY CARRIER	Basic actions and technology	Person/Thing		n
3927	BLUE-AND-YELLOW MACAW	Animals	Person/Thing		n
3928	BRAZIL NUT	Agriculture and vegetation	Person/Thing		n
3929	BRAZILIAN CEDAR	Agriculture and vegetation	Person/Thing		n
3930	DAUGHTER (OF WOMAN)	Kinship	Person/Thing		n
3931	CECROPIA	Agriculture and vegetation	Person/Thing		n
3932	GRIDIRON	Basic actions and technology	Person/Thing		n
3933	HOPLIAS (GENUS)	Animals	Person/Thing		n
3934	INGA (GENUS)	Agriculture and vegetation	Person/Thing		n
3935	LARGE-BULLET-ANT	Animals	Person/Thing		n
3936	MOUNTAIN SOURSOP (Annona montana)	Agriculture and vegetation	Person/Thing		n
3937	PIUM (SIMULIIDAE)	Animals	Person/Thing		n
3938	RED-AND-GREEN MACAW	Animals	Person/Thing		n
3939	SON OF WOMAN	Kinship	Person/Thing		n
3940	TAPIOCA	Food and drink	Person/Thing		n
3941	TAYRA (EIRA BARBARA)	Animals	Person/Thing		n
3942	WAX	Animals	Person/Thing		n
3943	WRISTBAND	Clothing and grooming	Person/Thing		n
3944	LOWER LIP	The body	Person/Thing		n
3945	ORION'S CONSTELLATION	The physical world	Person/Thing		n
3946	BABY SLING	Clothing and grooming	Person/Thing		n
3947	HONEYCOMB	Animals	Person/Thing		n
3948	SHOTGUN	Warfare and hunting	Person/Thing		n
3949	RED-FOOTED TORTOISE	Animals	Person/Thing		n
3950	LIBER (INNER BARK)	Agriculture and vegetation	Person/Thing		n
3951	PANDA	Animals	Person/Thing		n
3952	REFRIGERATOR	Modern world	Person/Thing		n
3953	CHARITY	Social and political relations	Person/Thing		n
3954	FRIENDSHIP	Social and political relations	Person/Thing		n
3955	HOSTILITY	Emotions and values	Person/Thing		n
3956	DISPUTE	Social and political relations	Person/Thing		n
3957	SYSTEM	Cognition	Person/Thing		n
3958	SOCIETY	Social and political relations	Person/Thing		n
3959	RELATIONSHIP	Cognition	Person/Thing		n
3960	IDENTITY	Cognition	Person/Thing		n
3961	TEAM	Social and political relations	Person/Thing		n
3962	DISCIPLINE	Emotions and values	Person/Thing		n
3963	SCENERY	The physical world	Person/Thing		n
3964	SPLENDOR	Emotions and values	Person/Thing		n
3965	TRAUMA	Emotions and values	Person/Thing		n
3966	CONCEPT	Cognition	Person/Thing		n
3967	CONTENT	Cognition	Person/Thing		n
3968	EFFECT	Cognition	Person/Thing		n
3969	RESULT	Basic actions and technology	Person/Thing		n
3970	PROCESS	Basic actions and technology	Person/Thing		n
3971	METHOD	Modern world	Person/Thing		n
3972	EXCITED	Emotions and values	Property		a
3973	DEPRESSED	Emotions and values	Property		a
3974	UNHAPPY	Emotions and values	Property		a
3975	NERVOUS	Emotions and values	Property		a
3976	EXPLODE	Basic actions and technology	Action/Process		v
3977	SHINY	Sense perception	Property		a
3978	COMPANION	Social and political relations	Person/Thing		n
3979	TADPOLE	Animals	Person/Thing		n
3980	GET DRUNK	Basic actions and technology	Action/Process		v
3981	GUAVA	The physical world	Person/Thing		n
3982	BREEZE	The physical world	Person/Thing		n
3983	RED DEER	Animals	Person/Thing		n
3984	THESE (PLURAL OF THIS)	Miscellaneous function words	Other		n
3985	THOSE (PLURAL OF THAT)	Miscellaneous function words	Other		n
3986	COLLAPSE	Basic actions and technology	Action/Process		v
3987	HOARSE	Sense perception	Property		a
3988	PLATEAU	The physical world	Person/Thing		n
3989	AGAVE	Agriculture and vegetation	Person/Thing		n
3990	LAWN	The physical world	Person/Thing		n
3991	TORTILLA	Food and drink	Person/Thing		n
3992	SARDINE	Animals	Person/Thing		n
3993	JINGLE (INSTRUMENT)	Speech and language	Person/Thing		n
3994	PIANO (INSTRUMENT)	Speech and language	Person/Thing		n
3995	AMAZONIAN MANATEE	Animals	Person/Thing		n
3996	TOP (TOY)	The physical world	Person/Thing		n
3997	ARTICHOKE	Agriculture and vegetation	Person/Thing		n
3998	IRONING BOARD	Modern world	Person/Thing		n
3999	ROCKING CHAIR	The house	Person/Thing		n
4000	LIGHTBULB	The house	Person/Thing		n
4001	LIGHT SWITCH	The house	Person/Thing		n
4002	ROLLING PIN	Food and drink	Person/Thing		n
4003	PLIERS	Basic actions and technology	Person/Thing		n
4004	RECORD PLAYER	Modern world	Person/Thing		n
4005	SUITCASE	Basic actions and technology	Person/Thing		n
4006	ROBOT	Modern world	Person/Thing		n
4007	WALRUS	Animals	Person/Thing		n
4008	SANDWICH	Food and drink	Person/Thing		n
4009	SPINNING WHEEL	Basic actions and technology	Person/Thing		n
4010	TOASTER	Modern world	Person/Thing		n
4011	TRUCK	Modern world	Person/Thing		n
4012	TELESCOPE	Basic actions and technology	Person/Thing		n
4013	AMBULANCE	Modern world	Person/Thing		n
4014	MICROPHONE	Modern world	Person/Thing		n
4015	PIRATE	Social and political relations	Person/Thing		n
4016	MICROSCOPE	Basic actions and technology	Person/Thing		n
4017	JELLYFISH	Animals	Person/Thing		n
4018	BLOUSE	Clothing and grooming	Person/Thing		n
4019	CIGAR	Modern world	Person/Thing		n
4020	CLOWN	Social and political relations	Person/Thing		n
4021	DINOSAUR	Animals	Person/Thing		n
