CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
1	CONTEMPTIBLE	Emotions and values	Property		a
2	DUST	The physical world	Person/Thing	i115039	n
3	BRAVE	Emotions and values	Property	i1475	a
4	COURTYARD	The house	Person/Thing		n
5	GAZELLE	Animals	Person/Thing		n
6	EARTHQUAKE	The physical world	Person/Thing	i75751	n
7	GATHER	Spatial relations	Action/Process	i28612	v
8	CURSE	Religion and belief	Action/Process	i25957	v
9	ANNOUNCE	Speech and language	Action/Process	i26463	v
10	FIREWOOD	The physical world	Person/Thing	i116556	n
11	DARKNESS	The physical world	Person/Thing	i110421	n
12	MIDDAY	Time	Person/Thing	i116909	n
13	DECEIT	Emotions and values	Person/Thing	i39390	n
14	YOKE	Motion	Person/Thing	i61326	n
15	OTTER	Animals	Person/Thing		n
16	SLED	Motion	Person/Thing	i59047	n
17	EYELID	The body	Person/Thing	i64881	n
18	EARLOBE	The body	Person/Thing	i64935	n
19	FISHING LINE	Warfare and hunting	Person/Thing	i53777	n
20	SCYTHE	Agriculture and vegetation	Person/Thing		n
21	TASTE (SOMETHING)	Sense perception	Action/Process	i32725	v
22	INTEND	Cognition	Action/Process		v
23	RYE	Agriculture and vegetation	Person/Thing	i100917	n
24	PRAY	Religion and belief	Action/Process	i25495	v
25	DIRT	Sense perception	Person/Thing		n
26	UNPLEASANT	Emotions and values	Property		a
27	AIR	The physical world	Person/Thing	i115045	n
28	MOISTEN	Basic actions and technology	Action/Process		v
29	GELD	Animals	Action/Process		v
30	DISPEL	Motion	Action/Process		v
31	PAN	Food and drink	Person/Thing	i56934	n
32	EARWAX	The body	Person/Thing	i116528	n
33	NETTLE	Agriculture and vegetation	Person/Thing	i102135	n
34	STAIRS	The house	Person/Thing		n
35	TAMARIND	Agriculture and vegetation	Person/Thing		n
36	PUBIC HAIR	The body	Person/Thing	i64624	n
37	LIBERATE	Social and political relations	Action/Process	i34205	v
38	SPREAD OUT	Basic actions and technology	Action/Process	i29626	v
39	KEEN	Emotions and values	Property		a
40	ENVY	Emotions and values	Person/Thing	i76437	n
41	IGNORE	Cognition	Action/Process		v
42	STINKING	Sense perception	Property		a
43	LEAD (GUIDE)	Motion	Action/Process	i31738	v
44	INJURE	The body	Action/Process	i22125	v
45	EVIL	Emotions and values	Property		a
46	HOLLOW OUT	Basic actions and technology	Action/Process	i28080	v
47	EXCRETA	The body	Person/Thing		n
48	BE SILENT	Speech and language	Action/Process		v
49	REFUSE	Speech and language	Action/Process	i25664	v
50	JACK	Modern world	Person/Thing		n
51	SORE	The body	Person/Thing		n
52	SHIVER	The body	Action/Process	i31150	v
53	SPIRIT	Religion and belief	Person/Thing		n
54	SHRINK	The physical world	Action/Process		v
55	WHISPER	Speech and language	Action/Process	i26191	v
56	BAD LUCK	Emotions and values	Person/Thing	i113074	n
57	ATOP	Spatial relations	Other		n
58	LIQUID	The physical world	Property		a
59	ELECTRICITY	Modern world	Person/Thing	i97765	n
60	OAT	Agriculture and vegetation	Person/Thing	i100785	n
61	INDUCE	Cognition	Action/Process		v
62	BE SITUATED	The physical world	Other		n
63	RUMOUR	Speech and language	Person/Thing		n
64	PIN	Clothing and grooming	Person/Thing	i59656	n
65	AMBUSH	Warfare and hunting	Person/Thing	i41929	n
66	KNEEL	Motion	Action/Process	i29460	v
67	EMBERS	The physical world	Person/Thing	i85361	n
68	TATTOO	Clothing and grooming	Person/Thing	i60026	n
69	SOBER	Food and drink	Property		a
70	BRACKISH	Sense perception	Property		a
71	BY HEART	Cognition	Other		n
72	CLAW	Animals	Person/Thing	i46802	n
73	BEAK	The body	Person/Thing	i44571	n
74	PUPPY	Animals	Person/Thing		n
75	DISGRACE	Social and political relations	Action/Process		v
76	YOUNG MAN	Kinship	Person/Thing	i94222	n
77	YOUNG WOMAN	Kinship	Person/Thing	i90206	n
78	THAT	Miscellaneous function words	Other		n
79	WASTE	Warfare and hunting	Action/Process		v
80	DOORPOST	The house	Person/Thing	i53055	n
81	FATHOM	Spatial relations	Person/Thing	i108500	n
82	ANGER	Emotions and values	Person/Thing	i110692	n
83	FORBID	Speech and language	Action/Process	i25658	v
84	JUST	Time	Other		n
85	GIVE BACK	Possession	Action/Process	i33159	v
86	SIEVE	Food and drink	Action/Process		v
87	SQUINT-EYED	The body	Property		a
88	BEEHIVE	Animals	Person/Thing	i50657	n
89	NATIVE COUNTRY	Social and political relations	Person/Thing	i81771	n
90	INNOCENT	Law	Property	i7194	a
91	INSOLENT	Emotions and values	Property		a
92	SPOIL (SOMEBODY OR SOMETHING)	Social and political relations	Action/Process		v
93	DRAW MILK	Food and drink	Action/Process	i22689	v
94	GRADUALLY	Miscellaneous function words	Property		a
95	SANDFLY	Animals	Person/Thing	i47080	n
96	CRAWL	Motion	Action/Process	i31134	v
97	THROUGH	Miscellaneous function words	Other		n
98	ALL	Quantity	Other	i12561	a
99	HUNCHBACK	The body	Person/Thing		n
100	FAITHFUL	Emotions and values	Property	i5258	a
101	BOAST	Speech and language	Action/Process	i26037	v
102	COMMON COLD (DISEASE)	The body	Person/Thing	i111251	n
103	FORNICATE	The body	Action/Process		v
104	HAILING	The physical world	Action/Process		v
105	MATTRESS	Modern world	Person/Thing	i56081	n
106	SATIATED	Food and drink	Property		a
107	OMEN	Religion and belief	Person/Thing	i74979	n
108	RUDDER	Motion	Person/Thing	i58332	n
109	FOREIGN	Cognition	Property		a
110	MOTOR	Modern world	Person/Thing	i56395	n
111	DRUMMING	Motion	Action/Process		v
112	TURTLE	Animals	Person/Thing	i44036	n
113	SHORE	The physical world	Person/Thing	i86178	n
114	PORPOISE	Animals	Person/Thing		n
115	PROFLIGATE	Possession	Person/Thing		n
116	LARCH	Agriculture and vegetation	Person/Thing	i98433	n
117	IMITATE	Cognition	Action/Process	i30449	v
118	BEWITCH	Religion and belief	Action/Process		v
119	DIVE	Motion	Action/Process	i31543	v
120	PITCHER	Food and drink	Person/Thing		n
121	SPIN	Clothing and grooming	Action/Process	i29321	v
122	CART	Motion	Person/Thing	i60907	n
123	FOREHEAD	The body	Person/Thing	i66351	n
124	THORN	Agriculture and vegetation	Person/Thing		n
125	SWEAT (SUBSTANCE)	The body	Person/Thing		n
126	SWEAT (PERSPIRE)	The body	Action/Process	i22113	v
127	EXTINGUISH	The physical world	Action/Process	i35491	v
128	MUMBLE	Speech and language	Action/Process	i26794	v
129	CHOKE	Basic actions and technology	Action/Process	i22160	v
130	GRATIS (OF CHARGE)	Possession	Other		n
131	FESTIVAL	Social and political relations	Person/Thing		n
132	SAUCE	Food and drink	Person/Thing		n
133	WEAVE	Clothing and grooming	Action/Process	i30113	v
134	FAULT	Emotions and values	Person/Thing	i61602	n
135	BOOMERANG	Basic actions and technology	Person/Thing	i50965	n
136	HERE	Miscellaneous function words	Other	i18823	r
137	COCA	Agriculture and vegetation	Person/Thing		n
138	BATHE	The body	Action/Process	i21944	v
139	GUMS	The body	Person/Thing	i64833	n
140	PADDY FIELD	Agriculture and vegetation	Person/Thing	i82252	n
141	BURN (SOMETHING)	The physical world	Action/Process	i23624	v
142	RETURN HOME	Motion	Action/Process	i31763	v
143	HUMID	The physical world	Property		a
144	MACHINE	Modern world	Person/Thing	i55888	n
145	SORROWFUL	Emotions and values	Property		a
146	SUGAR CANE	Agriculture and vegetation	Person/Thing	i100910	n
147	COCONUT TREE	Agriculture and vegetation	Person/Thing		n
148	ITCH	The body	Person/Thing	i66986	n
149	ITCHY	Sense perception	Property		a
150	WORRY	Emotions and values	Action/Process		v
151	RAZOR	Clothing and grooming	Person/Thing	i57980	n
152	HOOF	The body	Person/Thing		n
153	GREY	Sense perception	Property		a
154	UDDER	The body	Person/Thing	i48034	n
155	CHOP	Basic actions and technology	Action/Process	i27936	v
156	RED	Sense perception	Property		a
157	DYE	Clothing and grooming	Action/Process	i23133	v
158	PUT ON	Clothing and grooming	Action/Process	i22024	v
159	SWEET POTATO	Agriculture and vegetation	Person/Thing	i77525	n
160	SET (HEAVENLY BODIES)	The physical world	Action/Process		v
161	MISS (A TARGET)	Basic actions and technology	Action/Process	i27816	v
162	HICCOUGH	The body	Action/Process	i21787	v
163	BLACK	Sense perception	Property	i2222	a
164	KANGAROO	Animals	Person/Thing	i45174	n
165	WALLABY	Animals	Person/Thing		n
166	MAINLAND	The physical world	Person/Thing	i85741	n
167	MAIL	Modern world	Person/Thing	i69425	n
168	REST	The body	Action/Process	i21838	v
169	IT	Kinship	Other		n
170	FATHER'S SISTER	Kinship	Person/Thing		n
171	MOTHER'S SISTER	Kinship	Person/Thing		n
172	SHOULDERBLADE	The body	Person/Thing	i64706	n
173	SIBLING'S CHILD	Kinship	Person/Thing		n
174	PROUD	Emotions and values	Property	i10365	a
175	BLOW (OF WIND)	Motion	Action/Process	i35526	v
176	BLOW (WITH MOUTH)	Basic actions and technology	Action/Process		v
177	BETEL PEPPER VINE	Agriculture and vegetation	Person/Thing		n
178	RIPE	Agriculture and vegetation	Property	i8189	a
179	RIPEN	Agriculture and vegetation	Action/Process		v
180	CALL BY NAME	Speech and language	Action/Process	i26719	v
181	ANTEATER	Animals	Person/Thing	i48587	n
182	SPOKE	Motion	Person/Thing		n
183	BAKE	Food and drink	Action/Process	i30052	v
184	MAST	Motion	Person/Thing	i56053	n
185	FIREPLACE	The house	Person/Thing	i53746	n
186	SHIN	The body	Person/Thing		n
187	LOIN	The body	Person/Thing		n
188	COMB OF BIRD	Animals	Person/Thing		n
189	HAIR (BODY)	The body	Person/Thing	i64570	n
190	MOW	Agriculture and vegetation	Action/Process	i28283	v
191	NUT	Agriculture and vegetation	Person/Thing	i105680	n
192	CORNER	Spatial relations	Person/Thing	i52372	n
193	SHALLOW	Spatial relations	Property	i3850	a
194	FAMILY	Kinship	Person/Thing	i79199	n
195	MAT	Basic actions and technology	Person/Thing	i56060	n
196	DONATE	Social and political relations	Action/Process		v
197	OTHER	Miscellaneous function words	Other	i11342	a
198	GENITALIA	The body	Person/Thing		n
199	FAMINE	Agriculture and vegetation	Person/Thing	i75133	n
200	SAME	Miscellaneous function words	Other	i11339	a
201	FARM	Agriculture and vegetation	Person/Thing		n
202	STRENGTH	The body	Person/Thing		n
203	MARRY	Kinship	Action/Process	i34166	v
204	AGAIN	Time	Other	i18372	r
205	TROUGH	The house	Person/Thing	i55985	n
206	FIREFLY	Animals	Person/Thing	i46864	n
207	SPARSE	Quantity	Property		a
208	NASAL MUCUS (SNOT)	The body	Person/Thing	i65421	n
209	RARE	Possession	Property		a
210	LIFE	The body	Person/Thing	i110305	n
211	CAST	Basic actions and technology	Action/Process	i30047	v
212	FIELD	Agriculture and vegetation	Person/Thing	i82019	n
213	FIN	Animals	Person/Thing	i48623	n
214	STRETCH	Basic actions and technology	Action/Process	i23323	v
215	LIE DOWN	Spatial relations	Action/Process	i31661	v
216	MOVIE	Modern world	Person/Thing	i71223	n
217	BETELNUT	Agriculture and vegetation	Person/Thing		n
218	FINE (PENALTY)	Law	Person/Thing	i106577	n
219	TOILET	Modern world	Person/Thing	i60333	n
220	INTACT	Basic actions and technology	Property		a
221	FIRE	The physical world	Person/Thing	i107576	n
222	LAVISH	Modern world	Property		a
223	THRESHING-FLOOR	Agriculture and vegetation	Person/Thing	i60215	n
224	MORTAR	Food and drink	Person/Thing	i56376	n
225	PESTLE	Food and drink	Person/Thing	i57174	n
226	TELL FORTUNES	Religion and belief	Action/Process		v
227	FISH	Animals	Person/Thing	i48880	n
228	CARVE	Basic actions and technology	Action/Process	i27924	v
229	MOVE AWAY	Basic actions and technology	Action/Process		v
230	SWEEP	Basic actions and technology	Action/Process	i28687	v
231	SHAVE	Clothing and grooming	Action/Process		v
232	FLEA	Animals	Person/Thing	i46969	n
233	SNOWSHOE	Clothing and grooming	Person/Thing	i59154	n
234	PADDLE	Basic actions and technology	Person/Thing	i56893	n
235	FLYING FOX	Animals	Person/Thing		n
236	STEPMOTHER	Kinship	Person/Thing	i93311	n
237	STEPFATHER	Kinship	Person/Thing	i93310	n
238	PRAWNS	Animals	Person/Thing		n
239	FLOWER	Agriculture and vegetation	Person/Thing	i98673	n
240	ELECTION	Modern world	Person/Thing	i36368	n
241	TREE STUMP	Agriculture and vegetation	Person/Thing	i105584	n
242	COST	Possession	Action/Process		v
243	FRESH	The physical world	Property		a
244	LEFT	Spatial relations	Property	i20799	r
245	BROOM	Basic actions and technology	Person/Thing	i51182	n
246	THRUST	Motion	Action/Process		v
247	TAN	The house	Action/Process	i24274	v
248	HAPPEN	Basic actions and technology	Action/Process		v
249	FOG	The physical world	Person/Thing	i97801	n
250	LIGHT (COLOR)	Sense perception	Property	i1511	a
251	SHARPEN (SOMETHING)	Basic actions and technology	Action/Process		v
252	FRIGHTEN	Sense perception	Action/Process		v
253	CARE FOR	Social and political relations	Action/Process		v
254	STICKING	The physical world	Action/Process		v
255	SERVANT	Social and political relations	Person/Thing	i92890	n
256	FOOD	Food and drink	Person/Thing	i76470	n
257	WORSHIP	Religion and belief	Action/Process	i30629	v
258	CALM	Emotions and values	Property	i1677	a
259	ROUGH (OF SEA)	The physical world	Property		a
260	SAVANNA	The physical world	Person/Thing	i82399	n
261	ARCTIC LIGHTS	The physical world	Person/Thing	i97636	n
262	HE OR SHE OR IT	Kinship	Other		n
263	HERDSMAN	Animals	Person/Thing	i90486	n
264	HE-GOAT	Animals	Person/Thing		n
265	FOWL	Animals	Person/Thing	i44695	n
266	SCALE	Animals	Person/Thing	i45333	n
267	NIT	Animals	Person/Thing	i42983	n
268	DRIBBLE	The body	Action/Process	i22288	v
269	COOKED	Food and drink	Property	i3417	a
270	JUG	Food and drink	Person/Thing	i57362	n
271	SAUCER	Food and drink	Person/Thing	i58474	n
272	TONGS	Food and drink	Person/Thing	i60359	n
273	DOUGH	Food and drink	Person/Thing	i78504	n
274	KNEAD	Food and drink	Action/Process	i27803	v
275	PEEL	Food and drink	Action/Process	i27964	v
276	BANISTERIUM	Food and drink	Person/Thing		n
277	SPINDLE	Clothing and grooming	Person/Thing	i59321	n
278	AWL	Clothing and grooming	Person/Thing	i50299	n
279	THATCH	The house	Person/Thing	i116376	n
280	RIDGEPOLE	The house	Person/Thing	i58162	n
281	POST	The house	Person/Thing	i57505	n
282	POLE	The house	Person/Thing		n
283	PADDY	Agriculture and vegetation	Person/Thing		n
284	HOE	Agriculture and vegetation	Person/Thing	i54839	n
285	THRESH	Agriculture and vegetation	Action/Process	i28809	v
286	NEEDLE TREE	Agriculture and vegetation	Person/Thing	i105794	n
287	CONE	Agriculture and vegetation	Person/Thing	i98733	n
288	FORGE	Basic actions and technology	Action/Process	i30120	v
289	MOLD	Basic actions and technology	Action/Process	i30047	v
290	ADZE	Basic actions and technology	Person/Thing	i49846	n
291	PULL OFF (SKIN)	Basic actions and technology	Action/Process	i28035	v
292	RUG	Basic actions and technology	Person/Thing	i58337	n
293	NETBAG	Basic actions and technology	Person/Thing		n
294	TUMPLINE	Basic actions and technology	Person/Thing		n
295	WHETSTONE	Basic actions and technology	Person/Thing	i61105	n
296	CROUCH	Motion	Action/Process	i29459	v
297	CROOKED	Spatial relations	Property	i12799	a
298	SHRIEK	Speech and language	Action/Process	i26184	v
299	SCOLD	Speech and language	Action/Process	i25781	v
300	RATTLE	Speech and language	Person/Thing	i57974	n
301	CHIEFTAIN	Social and political relations	Person/Thing	i90437	n
302	CLAN	Social and political relations	Person/Thing	i79196	n
303	ABSTAIN FROM FOOD	Religion and belief	Action/Process	i27566	v
304	PREACH	Religion and belief	Action/Process	i25794	v
305	GRANDPARENTS	Kinship	Person/Thing	i90292	n
306	PARENTS-IN-LAW	Kinship	Person/Thing		n
307	HAWK	Animals	Person/Thing	i43741	n
308	TOUCAN	Animals	Person/Thing	i45029	n
309	OPOSSUM	Animals	Person/Thing	i45162	n
310	HEAD LOUSE	Animals	Person/Thing	i46959	n
311	BODY LOUSE	Animals	Person/Thing	i46960	n
312	TAPIR	Animals	Person/Thing	i48191	n
313	AGOUTI	Animals	Person/Thing		n
314	CAPYBARA	Animals	Person/Thing		n
315	CURASSOW	Animals	Person/Thing		n
316	PACA	Animals	Person/Thing		n
317	PIRANHA	Animals	Person/Thing		n
318	FOOTPRINT	The body	Person/Thing	i71400	n
319	LICK	The body	Action/Process	i28888	v
320	LAME	The body	Property		a
321	CHEW	Food and drink	Action/Process	i27629	v
322	FIG	Agriculture and vegetation	Person/Thing	i77801	n
323	FAT (ORGANIC SUBSTANCE)	The body	Person/Thing	i115175	n
324	MANIOC FLOUR	Food and drink	Person/Thing		n
325	FELT	Clothing and grooming	Person/Thing	i53629	n
326	CLOAK	Clothing and grooming	Person/Thing	i52019	n
327	PONCHO	Clothing and grooming	Person/Thing	i57531	n
328	GRASS-SKIRT	Clothing and grooming	Person/Thing	i54406	n
329	STOCKING	Clothing and grooming	Person/Thing	i59606	n
330	HEADBAND	Clothing and grooming	Person/Thing		n
331	HEADDRESS	Clothing and grooming	Person/Thing		n
332	RAG	Clothing and grooming	Person/Thing	i57916	n
333	PLAIT	Clothing and grooming	Person/Thing	i64595	n
334	COOKHOUSE	The house	Person/Thing	i52323	n
335	MEETING HOUSE	The house	Person/Thing	i52314	n
336	PADLOCK	The house	Person/Thing	i56901	n
337	PITCHFORK	Agriculture and vegetation	Person/Thing	i57363	n
338	RAKE	Agriculture and vegetation	Person/Thing	i57939	n
339	DIGGING STICK	Agriculture and vegetation	Person/Thing		n
340	LASSO	Agriculture and vegetation	Person/Thing	i55549	n
341	SICKLE	Agriculture and vegetation	Person/Thing		n
342	HAY	Agriculture and vegetation	Person/Thing	i78109	n
343	VINE	Agriculture and vegetation	Person/Thing	i105560	n
344	TREE TRUNK	Agriculture and vegetation	Person/Thing	i105859	n
345	SAP	Agriculture and vegetation	Person/Thing	i116185	n
346	BANYAN	Agriculture and vegetation	Person/Thing	i102183	n
347	SORGHUM	Agriculture and vegetation	Person/Thing		n
348	FISH POISON	Agriculture and vegetation	Person/Thing		n
349	ACHIOTE	Agriculture and vegetation	Person/Thing		n
350	MANGROVE	Agriculture and vegetation	Person/Thing		n
351	TARO	Agriculture and vegetation	Person/Thing		n
352	UNTIE	Basic actions and technology	Action/Process	i28090	v
353	STRIKE	Basic actions and technology	Action/Process		v
354	POUND	Basic actions and technology	Action/Process	i28800	v
355	CUT DOWN	Basic actions and technology	Action/Process	i28300	v
356	SHEARS	Basic actions and technology	Person/Thing	i58756	n
357	HANG UP	Basic actions and technology	Action/Process	i29124	v
358	TINPLATE	Basic actions and technology	Person/Thing		n
359	POTTER	Basic actions and technology	Person/Thing	i92177	n
360	FAN (ACTION)	Basic actions and technology	Action/Process	i31132	v
361	PEG	Basic actions and technology	Person/Thing	i57093	n
362	STRING	Basic actions and technology	Person/Thing		n
363	DWELL (LIVE, RESIDE)	The house	Action/Process	i34919	v
364	SMEAR	Basic actions and technology	Action/Process		v
365	SPLASH	Motion	Action/Process	i28583	v
366	LIMP	Motion	Action/Process	i31301	v
367	RIDE	Motion	Action/Process	i31515	v
368	SLEDGE	Motion	Person/Thing		n
369	OWE	Possession	Action/Process	i33004	v
370	BARTER	Possession	Action/Process		v
371	PICK UP	Spatial relations	Action/Process	i27658	v
372	POINTED	Spatial relations	Property	i9938	a
373	LONG AGO	Time	Other		n
374	ONE TIME	Time	Other		n
375	SNIFF	Sense perception	Action/Process	i32383	v
376	FRAGRANT	Sense perception	Property	i5754	a
377	LOUD	Sense perception	Property	i18561	r
378	PINCH	Sense perception	Action/Process	i29007	v
379	BLUNT	Sense perception	Property		a
380	WRINKLED	Sense perception	Property	i7414	a
381	BLAME	Emotions and values	Person/Thing	i74706	n
382	GOVERN	Social and political relations	Action/Process		v
383	MASTER	Social and political relations	Person/Thing	i91804	n
384	FREEMAN	Social and political relations	Person/Thing	i90088	n
385	RESPECT (SOMEBODY)	Emotions and values	Action/Process		v
386	BATTLE-AXE	Warfare and hunting	Person/Thing	i50584	n
387	SLING	Warfare and hunting	Person/Thing	i59074	n
388	FISHNET	Warfare and hunting	Person/Thing	i53782	n
389	FISH TRAP	Warfare and hunting	Person/Thing		n
390	PUNISHMENT	Law	Person/Thing	i41479	n
391	BLESS	Religion and belief	Action/Process	i25959	v
392	MAGIC	Religion and belief	Person/Thing	i68190	n
393	CIRCUMCISION	Religion and belief	Person/Thing	i37483	n
394	SHAMAN (FOLK HEALER)	Religion and belief	Person/Thing		n
395	PILL	Modern world	Person/Thing	i57275	n
396	TABLET	Modern world	Person/Thing		n
397	BIRTH CERTIFICATE	Modern world	Person/Thing	i70501	n
398	PIERCE	Basic actions and technology	Action/Process		v
399	PLANTAIN	Agriculture and vegetation	Person/Thing		n
400	MUSH	Food and drink	Person/Thing		n
401	OPPRESS	Social and political relations	Action/Process		v
402	SURPASS	Motion	Action/Process		v
403	GARDEN-HOUSE	The house	Person/Thing		n
404	ALCOHOL (FERMENTED DRINK)	Food and drink	Person/Thing		n
405	OLDER SIBLING	Kinship	Person/Thing		n
406	OLD MAN	Kinship	Person/Thing	i91725	n
407	MANIOC BREAD	Food and drink	Person/Thing		n
408	MEN'S HOUSE	The house	Person/Thing		n
409	FORKED BRANCH	Agriculture and vegetation	Person/Thing		n
410	YAM	Agriculture and vegetation	Person/Thing	i77524	n
411	GOURD	Agriculture and vegetation	Person/Thing	i54374	n
412	CARRY IN HAND	Motion	Action/Process		v
413	CARRY ON SHOULDER	Motion	Action/Process		v
414	CARRY ON HEAD	Motion	Action/Process		v
415	CARRY UNDER ARM	Motion	Action/Process		v
416	OUTRIGGER	Motion	Person/Thing	i56814	n
417	THREE TIMES	Quantity	Other	i19933	r
418	FOR A LONG TIME	Time	Other		n
419	SEVERE	Miscellaneous function words	Property		a
420	FOREST	The physical world	Person/Thing	i81466	n
421	RETREAT	Warfare and hunting	Action/Process	i31712	v
422	NECESSITY	Cognition	Person/Thing		n
423	GET LOST	Basic actions and technology	Action/Process		v
424	MARRIED MAN	Kinship	Person/Thing	i90626	n
425	BE LATE	Time	Property		a
426	MARRIED WOMAN	Kinship	Person/Thing	i94123	n
427	YOUNGER SIBLING	Kinship	Person/Thing		n
428	BE MANY	Quantity	Other		n
429	SWIDDEN FIELD	Agriculture and vegetation	Person/Thing		n
430	TWIST	Motion	Action/Process		v
431	UPPER ARM	The body	Person/Thing		n
432	BLOWGUN	Warfare and hunting	Person/Thing		n
433	HOWLER MONKEY	Animals	Person/Thing		n
434	SPIDER MONKEY	Animals	Person/Thing		n
435	COLLARED PECCARY	Animals	Person/Thing		n
436	WHITE-LIPPED PECCARY	Animals	Person/Thing		n
437	GUAN	Animals	Person/Thing		n
438	CHIGGOE (JIGGER FLEA)	Animals	Person/Thing		n
439	CEBUS MONKEY	Animals	Person/Thing		n
440	CHONTA PALM	Agriculture and vegetation	Person/Thing		n
441	CHICHA	Food and drink	Person/Thing		n
442	FRONT TOOTH (INCISOR)	The body	Person/Thing		n
443	TIP (OF TONGUE)	The body	Person/Thing		n
444	LONG HAIR	The body	Person/Thing		n
445	UPPER BACK	The body	Person/Thing		n
446	LOWER ARM	The body	Person/Thing		n
447	LOWER LEG	The body	Person/Thing		n
448	STORM CLOUDS	The physical world	Person/Thing		n
449	CORN FIELD	Agriculture and vegetation	Person/Thing		n
450	CUSHMA	Clothing and grooming	Person/Thing		n
451	HARMATTAN	Time	Person/Thing		n
452	DRY SEASON	Time	Person/Thing		n
453	RAINY SEASON	Time	Person/Thing		n
454	SHEA NUT TREE	Agriculture and vegetation	Person/Thing		n
455	MAHOGANY TREE	Agriculture and vegetation	Person/Thing		n
456	GUINEA FOWL	Animals	Person/Thing		n
457	BLIND PERSON	Kinship	Person/Thing		n
458	DEAF PERSON	Kinship	Person/Thing		n
459	SNAP (OF STICK)	Basic actions and technology	Action/Process		v
460	BREAK (OF ROPE)	Basic actions and technology	Action/Process		v
461	BOUBOU	Clothing and grooming	Person/Thing		n
462	WRAPPER	Clothing and grooming	Person/Thing		n
463	FELL (A TREE)	Agriculture and vegetation	Action/Process		v
464	ALANG-ALANG GRASS	Agriculture and vegetation	Person/Thing		n
465	CARRY ON BACK	Motion	Action/Process		v
466	CASSOWARY	Animals	Person/Thing		n
467	CRAYFISH	Animals	Person/Thing		n
468	G-STRING	Clothing and grooming	Person/Thing		n
469	PANDANUS	Agriculture and vegetation	Person/Thing		n
470	POSSUM	Animals	Person/Thing		n
471	UPPER LEG (THIGH)	The body	Person/Thing	i66144	n
472	PELICAN	Animals	Person/Thing		n
473	SPEAR (SOMEBODY)	Warfare and hunting	Action/Process		v
474	DRESS	Clothing and grooming	Person/Thing	i53142	n
475	UNTRUTH	Emotions and values	Person/Thing		n
476	CUP	Food and drink	Person/Thing	i52613	n
477	LATE	Time	Other	i18766	r
478	LIP	The body	Person/Thing	i64837	n
479	GROW	Spatial relations	Action/Process	i22877	v
480	PLATE	Food and drink	Person/Thing	i57415	n
481	DISH	Food and drink	Person/Thing	i52963	n
482	NOBLE	Social and political relations	Person/Thing	i91084	n
483	COMPOUND	Social and political relations	Person/Thing		n
484	CONDEMN	Law	Action/Process	i26149	v
485	DISAPPEAR	Motion	Action/Process	i23860	v
486	MINISTER	Modern world	Person/Thing	i91387	n
487	SHY	Emotions and values	Property		a
488	MANNER	Cognition	Person/Thing	i62886	n
489	KIDNEY	The body	Person/Thing	i64981	n
490	DESCENDANTS	Kinship	Person/Thing	i81091	n
491	CENTER	Spatial relations	Person/Thing		n
492	THREE	Quantity	Number		a
493	FIVE	Quantity	Number		a
494	FLIRT	Emotions and values	Action/Process		v
495	REVENGE	Emotions and values	Action/Process		v
496	CUCUMBER	Agriculture and vegetation	Person/Thing		n
497	SCAR	The body	Person/Thing	i112479	n
498	CALF OF LEG	The body	Person/Thing	i66204	n
499	CURE	The body	Action/Process	i22180	v
500	CRUEL	Emotions and values	Property		a
501	LIFT	Motion	Action/Process	i31600	v
502	NAIL (TOOL)	Basic actions and technology	Person/Thing	i56481	n
503	FROG	Animals	Person/Thing	i43933	n
504	LEARN	Cognition	Action/Process	i24750	v
505	PARENTS	Kinship	Person/Thing	i91858	n
506	MAIZE	Agriculture and vegetation	Person/Thing	i100967	n
507	MELON	Agriculture and vegetation	Person/Thing		n
508	PERIOD	Time	Person/Thing		n
509	CERTAIN	Cognition	Property	i1866	a
510	STRONG EFFECT	Sense perception	Property		a
511	BAOZI	Food and drink	Person/Thing		n
512	SEE A DOCTOR	Motion	Action/Process		v
513	THIS YEAR	Time	Other		n
514	LAST YEAR	Time	Other		n
515	NEXT YEAR	Time	Other		n
516	PERSON (CLASSIFIER)	Quantity	Classifier		n
517	FIREDRILL	Motion	Person/Thing		n
518	SPARK	The physical world	Person/Thing		n
519	SPOT	The physical world	Person/Thing		n
520	MANZANITA	Agriculture and vegetation	Person/Thing		n
521	TULE	Agriculture and vegetation	Person/Thing		n
522	WOLF	Animals	Person/Thing	i46549	n
523	BACK OF HEAD	The body	Person/Thing		n
524	BARBEL	Animals	Person/Thing		n
525	BLOOD VESSEL	The body	Person/Thing	i64984	n
526	HOWL	Speech and language	Action/Process	i26808	v
527	DOG-ROSE	Agriculture and vegetation	Person/Thing		n
528	DREADFUL	Emotions and values	Property		a
529	FLANK	Warfare and hunting	Person/Thing		n
530	FRECKLE	The body	Person/Thing		n
531	HOW MUCH	Cognition	Other		n
532	GIPSY	Social and political relations	Person/Thing		n
533	GLUTTON	Food and drink	Person/Thing		n
534	HUMP	The body	Person/Thing		n
535	INFLATED	The physical world	Property		a
536	LOW VOICE	Speech and language	Other		n
537	TURBID	The physical world	Person/Thing		n
538	MULTITUDE	Quantity	Person/Thing		n
539	NEST	Animals	Person/Thing	i85859	n
540	PALATE	The body	Person/Thing		n
541	POETRY	Speech and language	Person/Thing		n
542	SCANTY	Quantity	Property		a
